id,empCode,empFName,empMName,empLName,empCName,empStat,empImg,empPosi,empDoj,empEid,empLoca,empDept,empRepTo,empSpon,empNatl,empGend,empDob,empMarr,empIban,empBank,empAcc,empUid,empVisa,empAdd,empPh,empEmail,ref,traDate,action
329,329,Sanjay,Kumar,Mandal,Sanjay Kumar Kumar,Active,images/empImg/329 Sanjay.jpg,Sales Manager,1/11/2020,784-1977-1234567-44,Dubai Healthcare City (DHCC),Production,FD,EcoLab LLC,KSA,Male,1/20/1981,Married,112-112-112-112,Abu Dhabi Islamic Bank (ADIB),111-111-111-111,987654321.0,Valid for 3 Years,University Sharjah,050-4609018,Sanjay@yahoo.com,Upon Request,2023-5-31 12-41-37,
345,345,Pune,Pratap,Panjiyar,Pune Pratap Pratap,Active,images/empImg/345 Pune.jpg,Sales Executive,4/25/2020,784-1977-1234567-51,Dubai Logistics City,Production,,EcoLab LLC,UAE,Male,5/6/1976,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Pune@yahoo.com,,2023-5-31 13-30-13,
365,365,Allen,Joseph,Anora,Allen Joseph Joseph,Active,images/empImg/365 Allen.jpg,Sales Executive,9/22/2020,784-1977-1234567-61,Dubai Residential City,Sales,,EcoLab LLC,Bahrain,Male,10/2/1981,,,Emirates National Bank of Dubai (ENBD),,,,,,Allen@yahoo.com,,2023-5-31 13-30-25,
366,366,Franco,Viola,Parota,Franco Viola Viola,Active,images/empImg/366 Franco.jpg,Sales Executive,10/7/2020,784-1977-1234567-62,Dubai Science Park,Sales,,EcoLab LLC,Oman,Male,10/17/1982,,,Abu Dhabi Commercial Bank (ADCB),,,,,,FrancoJoseph@yahoo.com,,2023-5-31 18-53-6,
370,370,Ariel,Abapo,Naciogoyo,Ariel Abapo Abapo,Active,images/empImg/370 Ariel.jpg,Sales Executive,11/6/2020,784-1977-1234567-64,Dubai Sports City,Sales,,EcoLab LLC,KSA,Male,11/16/1981,,,Standard Chartered.,,,,,,ArielQuivante@yahoo.com,,2023-5-31 18-53-20,
415,415,Tampos,Antonio,Magalona,Tampos Antonio Antonio,Active,images/empImg/415 Tampos.jpg,Sales Executive,2/4/2021,784-1977-1234567-70,Fun City,Sales,,EcoLab LLC,Oman,Male,2/15/1979,,,Dubai Islamic Bank.,,,,,,Tampos@yahoo.com,,2023-5-31 18-53-36,
417,417,Jaime,,Endaya,Jaime  ,Inactive,images/empImg/417 Jaime.jpg,Sales Man,2/19/2021,784-1977-1234567-71,Furniture City,Sales,,EcoLab LLC,UAE,Male,3/2/1977,,,Standard Chartered.,,,,,,JaimeAntonio@yahoo.com,,2023-5-31 18-53-52,
418,418,Lucero,Jackson,Riconose,Lucero Jackson Jackson,Active,images/empImg/418 Lucero.jpg,Sales Man,3/6/2021,784-1977-1234567-72,Global Village,Sales,,EcoLab LLC,KSA,Male,3/17/1978,,,Abu Dhabi Islamic Bank (ADIB),,,,,,LuceroEndaya@yahoo.com,,2023-5-31 18-54-18,
498,498,Mohammed,Hasnain,Khan,Mohammed Hasnain Hasnain,Active,images/empImg/498 Mohammed.jpg,Sales Man,7/4/2021,784-1977-1234567-80,Mars City Al Safa,Production,,EcoLab LLC,KSA,Male,7/13/1984,,,Mashreq Neo.,,,,,,Mohammed@yahoo.com,,2023-5-31 18-54-57,
535,535,Rijeesh,Vellakada,Govindan,Rijeesh Vellakada Vellakada,Active,images/empImg/535 Rijeesh.jpg,Sales Man,9/2/2021,784-1977-1234567-84,Mohammed Bin Rashid City,Production,,EcoLab LLC,KSA,Male,9/12/1982,,,Dubai Islamic Bank.,,,,,,Rijeesh@yahoo.com,,2023-5-31 18-55-13,
598,598,Allen,Madrid,Gomez,Allen Madrid Madrid,Active,images/empImg/598 Allen.jpg,Sales Man,3/31/2022,784-1977-1234567-98,Dragon City,Sales,,EcoLab LLC,Oman,Male,4/11/1976,,,Dubai Islamic Bank.,,,,,,AllenA.@yahoo.com,,2023-5-31 18-55-39,
655,655,Yashoda,Nand Hari,Lal,Yashoda Nand Hari Nand Hari,Active,images/empImg/655 Yashoda.jpg,Sales Man,3/26/2023,784-1977-1234567-122,Dubai Maritime City,Accounting,,EcoLab LLC,Oman,Male,4/4/1985,,,Mashreq Neo.,,,,,,YashodaKim Y.@yahoo.com,,2023-6-1 1-10-37,
709,709,Jinu,Ambadan,Jose,Jinu Ambadan Ambadan,Active,images/empImg/709 Jinu.jpg,Admin Staff,9/13/2019,784-1977-1234567-140,Fun City,Sales,,EcoLab LLC,KSA,Male,9/22/1982,,,Dubai Islamic Bank.,,,,,,JinuKudilungal@yahoo.com,,2023-6-1 1-23-14,
741,741,Shashi,Kumar,Yadav,Shashi Kumar Kumar,Active,images/empImg/741 Shashi.jpg,Admin Staff,6/24/2020,784-1977-1234567-159,Bowling City,Management,,EcoLab LLC,UAE,Male,7/4/1982,,,Emirates National Bank of Dubai (ENBD),,,,,,Shashi@yahoo.com,,2023-6-1 1-23-27,
867,867,Roy,Arnado,Delantin,Roy Arnado Arnado,Active,images/empImg/867 Roy.jpg,Admin Staff,12/16/2021,784-1977-1234567-195,Dubai Motor City,operation,,EcoLab LLC,UAE,Male,12/28/1975,,,Abu Dhabi Commercial Bank (ADCB),,,,,,Roy@yahoo.com,,2023-6-1 1-23-40,
894,894,Dev,Kumar,Rai,Dev Kumar Kumar,Active,images/empImg/894 Dev.jpg,Admin Staff,5/30/2022,784-1977-1234567-206,Dubai Sustainable City,Sales,,EcoLab LLC,Oman,Male,6/9/1982,,,Mashreq Neo.,,,,,,DevLal@yahoo.com,,2023-6-1 1-24-55,
969,969,Mohammed,Javed,Alam,Mohammed Javed Javed,Active,images/empImg/969 Mohammed.jpg,Admin Staff,1/25/2023,784-1977-1234567-222,Mars Science City,Production,,EcoLab LLC,Oman,Male,2/3/1985,,,Emirates National Bank of Dubai (ENBD),,,,,,MohammedL.@yahoo.com,,2023-6-1 1-25-23,
981,981,Raj,Kumar,Giri,Raj Kumar Kumar,Active,images/empImg/981 Raj.jpg,Admin Staff,3/17/2019,784-1977-1234567-232,City Centre Mirdif (Mirdiff),Sales,,EcoLab LLC,KSA,Male,3/27/1976,,,Standard Chartered.,,,,,,Raj@yahoo.com,,2023-6-1 1-25-50,
994,994,Michael,Cadiang,Manza,Michael Cadiang Cadiang,Active,images/empImg/994 Michael.jpg,Admin Staff,5/31/2019,784-1977-1234567-237,Culture Village,Sales,,EcoLab LLC,Bahrain,Male,6/11/1972,,,Abu Dhabi Commercial Bank (ADCB),,,,,,MichaelD.@yahoo.com,,2023-6-1 1-26-36,
1008,1008,Jalil,Khadim,Hussain,Jalil Khadim Khadim,Active,images/empImg/1008 Jalil.jpg,Admin Staff,7/30/2019,784-1977-1234567-241,Dubai Aladdin City,Sales,,EcoLab LLC,Bahrain,Male,8/8/1980,,,Mashreq Neo.,,,,,,JalilP.@yahoo.com,,2023-6-1 1-26-52,
1074,1074,Suraj,Kailath,Rajan,Suraj Kailath Kailath,Active,images/empImg/1074 Suraj.jpg,Admin Staff,3/26/2020,784-1977-1234567-257,Dubai International City,Finance,,EcoLab LLC,Bahrain,Male,4/7/1973,,,Emirates National Bank of Dubai (ENBD),,,,,,Suraj@yahoo.com,,2023-6-1 1-27-39,
1077,1077,Vineesh,Kumar,Unnikrishnan,Vineesh Kumar Kumar,Active,images/empImg/1077 Vineesh.jpg,Admin Staff,4/25/2020,784-1977-1234567-259,Dubai Knowledge Park,Human Resources,,EcoLab LLC,UAE,Male,5/5/1982,,,Dubai Islamic Bank.,,,,,,VineeshBaby@yahoo.com,,2023-6-1 1-27-57,
1078,1078,Stalin,Jose,Pandary,Stalin Jose Jose,Active,images/empImg/1078 Stalin.jpg,Admin Staff,5/10/2020,784-1977-1234567-260,Dubai Lifestyle City,Marketing,,EcoLab LLC,KSA,Male,5/20/1983,,,Standard Chartered.,,,,,,StalinKumar@yahoo.com,,2023-6-1 1-28-14,
1082,1082,Suman,Cheriyil,Sasy,Suman Cheriyil Cheriyil,Active,images/empImg/1082 Suman.jpg,Admin Staff,6/24/2020,784-1977-1234567-263,Dubai Mars City,operation,,EcoLab LLC,UAE,Male,7/4/1980,,,International Banks in Dubai.,,,,,,Suman@yahoo.com,,2023-6-1 1-28-27,
1098,1098,Joyson,Joseph,Kalaparambath,Joyson Joseph Joseph,Inactive,images/empImg/1098 Joyson.jpg,Admin Staff,11/21/2020,784-1977-1234567-273,Dubai Smart City,Sales,,EcoLab LLC,Bahrain,Male,12/3/1975,,,Dubai Islamic Bank.,,,,,,Joyson@yahoo.com,,2023-6-1 1-28-38,
1138,1138,Jessie,Tolntion,Matitu,Jessie Tolntion Tolntion,Active,Empty.jpg,Admin Staff,2021-01-20,784-1977-1234567-277,Dubai Textile City,Sales,,EcoLab LLC,Bahrain,Male,1974-02-01,,,International Banks in Dubai.,,,,,,JessieJR Moncano@yahoo.com,,2023-6-1 1-33-22,
1146,1146,Emanuel,Rillan,Nunez,Emanuel Rillan Nunez,Active,,Admin Staff,2/4/2021,784-1977-1234567-278,Expo 2020,Purchasing,,EcoLab LLC,Oman,Male,2/16/1975,,,Emirates National Bank of Dubai (ENBD),,,,,,EmanuelTolntion@yahoo.com,,,
1156,1156,Jemuel,Besenio,Vega,Jemuel Besenio Vega,Active,,Admin Staff,3/6/2021,784-1977-1234567-280,Fun City,Production,,EcoLab LLC,KSA,Male,3/15/1984,,,Dubai Islamic Bank.,,,,,,JemuelC Dela Cruz@yahoo.com,,,
1177,1177,Antonio,Jamora,Acaso,Antonio Jamora Acaso,Active,,Admin Staff,8/18/2021,784-1977-1234567-291,Mars City Dubai,Finance,,EcoLab LLC,UAE,Male,8/29/1977,,,International Banks in Dubai.,,,,,,AntonioDe La Cruz@yahoo.com,,,
1184,1184,Deepu,Joseph,Muthukunnel,Deepu Joseph Muthukunnel,Active,,Admin Staff,11/16/2021,784-1977-1234567-297,The Forbidden City,operation,,EcoLab LLC,Bahrain,Male,11/28/1974,,,Mashreq Neo.,,,,,,DeepuKottayil@yahoo.com,,,
1188,1188,Jinu,James,Sobhana,Jinu James Sobhana,Active,,Admin Staff,12/1/2021,784-1977-1234567-298,The Sustainable City,operation,,EcoLab LLC,Oman,Male,12/13/1975,,,International Banks in Dubai.,,,,,,JinuJoseph@yahoo.com,,,
1191,1191,Augustine,Arakkal,Joseph,Augustine Arakkal Joseph,Active,,Admin Staff,1/15/2022,784-1977-1234567-301,City Centre Me'aisem (Meaisem),Sales,,EcoLab LLC,Bahrain,Male,1/25/1983,,,Dubai Islamic Bank.,,,,,,Augustine@yahoo.com,,,
1222,1222,Bilal,Hussain,L.,Bilal Hussain L.,Active,,Labor,5/15/2022,784-1977-1234567-309,Dream City,Sales,,EcoLab LLC,Bahrain,Male,5/26/1979,,,Standard Chartered.,,,,,,Bilal@yahoo.com,,,
1234,1234,Andree,Gloria,Gestopa,Andree Gloria Gestopa,Active,,Labor,5/30/2022,784-1977-1234567-310,Dubai Academic City (DAC),Sales,,EcoLab LLC,Oman,Male,6/9/1980,,,Abu Dhabi Islamic Bank (ADIB),,,,,,AndresHussain@yahoo.com,,,
1317,1317,Richard,Pinto,Pimentel,Richard Pinto Pimentel,Active,,Labor,10/27/2022,784-1977-1234567-320,Dubai Fashion City,Production,,EcoLab LLC,KSA,Male,11/5/1985,,,Emirates National Bank of Dubai (ENBD),,,,,,RichardLaurente@yahoo.com,,,
1326,1326,Harie,Domingo,Diampoc,Harie Domingo Diampoc,Active,,Driver,12/11/2022,784-1977-1234567-323,Dubai Golf City,Production,,EcoLab LLC,UAE,Male,12/21/1982,,,Standard Chartered.,,,,,,Harie@yahoo.com,,,
1342,1342,Narayan,A,Ojha,Narayan A Ojha,Active,,Driver,1/1/2019,784-1977-1234567-331,Dubai Logistics City,operation,,EcoLab LLC,UAE,Male,1/12/1975,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Narayan@yahoo.com,,,
1352,1352,Bal,Kumar,Sirpali,Bal Kumar Sirpali,Active,,Driver,4/1/2019,784-1977-1234567-337,Dubai Mountain City,Sales,,EcoLab LLC,Bahrain,Male,4/12/1972,,,Standard Chartered.,,,,,,BALRolloque@yahoo.com,,,
1366,1366,Dilip,Kumar,Khawas,Dilip Kumar Khawas,Active,,Driver,10/28/2019,784-1977-1234567-351,Furniture City,Production,,EcoLab LLC,UAE,Male,11/8/1975,,,Standard Chartered.,,,,,,Dilip@yahoo.com,,,
1390,1390,Muhammed,Hisham,Shajhan,Muhammed Hisham Shajhan,Active,,Driver,3/26/2020,784-1977-1234567-361,Mars City Dubai,Human Resources,,EcoLab LLC,Bahrain,Male,4/5/1981,,,International Banks in Dubai.,,,,,,MUHAMMEDBarrientos Dela Cruz@yahoo.com,,,
1398,1398,Nithin,Manihar,Valiyatharayil,Nithin Manihar Valiyatharayil,Active,,Accountant,6/24/2020,784-1977-1234567-367,The Forbidden City,Sales,,EcoLab LLC,UAE,Male,7/5/1978,,,Mashreq Neo.,,,,,,NithinE@yahoo.com,,,
1420,1420,Sayad,Ghulam,Hussain,Sayad Ghulam Hussain,Active,,Accountant,9/7/2020,784-1977-1234567-372,City Centre Mirdif (Mirdiff),Sales,,EcoLab LLC,KSA,Male,9/18/1977,,,Standard Chartered.,,,,,,Sayad@yahoo.com,,,
1426,1426,Ashvani,Kumar,Kumar,Ashvani Kumar Kumar,Active,,Account assistant,12/6/2020,784-1977-1234567-378,Dragon City,Sales,,EcoLab LLC,Oman,Male,12/18/1974,,,Dubai Islamic Bank.,,,,,,ASHVANI@yahoo.com,,,
1494,1494,Keshar,Dhan,Karki,Keshar Dhan Karki,Inactive,,Account assistant,1/10/2023,784-1977-1234567-429,Jumeirah Village Triangle (JVT),Human Resources,,EcoLab LLC,Bahrain,Male,1/21/1980,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Keshar@yahoo.com,,,
1510,1510,Pusta,,Mani Kami,Pusta Mani Kami,Active,,Account assistant,5/31/2019,784-1977-1234567-445,Cityland Mall,Sales,,EcoLab LLC,Bahrain,Male,6/10/1978,,,International Banks in Dubai.,,,,,,Pusta@yahoo.com,,,
1524,1524,Ishwari,Prasad,Oli,Ishwari Prasad Oli,Active,,Account assistant,10/13/2019,784-1977-1234567-454,Dubai Design District (D3),Production,,EcoLab LLC,Oman,Male,10/24/1975,,,Abu Dhabi Commercial Bank (ADCB),,,,,,Ishwari@yahoo.com,,,
1526,1526,Ram,Prasad,Bhandari,Ram Prasad Bhandari,Active,,Account assistant,11/12/2019,784-1977-1234567-456,Dubai Education City,Production,,EcoLab LLC,KSA,Male,11/23/1974,,,Standard Chartered.,,,,,,Ram@yahoo.com,,,
