id,empCode,empFName,empMName,empLName,empStat,empImg,empPosi,empDoj,empEid,empLoca,empDept,empRepTo,empSpon,empNatl,empGend,empDob,EmpMarr,empIban,empBank,empAcc,empUid,empVisa,empAdd,empPh,empEmail,ref,comment
329,329,Sanjay,Kumar,Mandal,Active,images/empImg/File_kmMF4fs.jpg,Sales Manager,1/11/2020,784-1977-1234567-44,Dubai Healthcare City (DHCC),Production,,EcoLab LLC,KSA,Male,1/20/1981,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Sanjay@yahoo.com,,
345,345,Pune,Pratap,Panjiyar,Active,images/empImg/File_E9fuhq6.jpg,Sales Executive,4/25/2020,784-1977-1234567-51,Dubai Logistics City,Production,,EcoLab LLC,UAE,Male,5/6/1976,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Pune@yahoo.com,,
365,365,Allen,Joseph,Anora,Active,images/empImg/File_fMvBOgS.jpg,Sales Executive,9/22/2020,784-1977-1234567-61,Dubai Residential City,Sales,,EcoLab LLC,Bahrain,Male,10/2/1981,,,Emirates National Bank of Dubai (ENBD),,,,,,Allen@yahoo.com,,
366,366,Franco,Viola,Parota,Active,images/empImg/File_jysMEvM.jpg,Sales Executive,10/7/2020,784-1977-1234567-62,Dubai Science Park,Sales,,EcoLab LLC,Oman,Male,10/17/1982,,,Abu Dhabi Commercial Bank (ADCB),,,,,,FrancoJoseph@yahoo.com,,
370,370,Ariel,Abapo,Naciogoyo,Active,images/empImg/File_HQZALPl.jpg,Sales Executive,11/6/2020,784-1977-1234567-64,Dubai Sports City,Sales,,EcoLab LLC,KSA,Male,11/16/1981,,,Standard Chartered.,,,,,,ArielQuivante@yahoo.com,,
415,415,Tampos,Antonio,Magalona,Active,images/empImg/File_LB6b9wl.jpg,Sales Executive,2/4/2021,784-1977-1234567-70,Fun City,Sales,,EcoLab LLC,Oman,Male,2/15/1979,,,Dubai Islamic Bank.,,,,,,Tampos@yahoo.com,,
417,417,Jaime,,Endaya,Inactive,images/empImg/File_SHCsEs3.jpg,Sales Man,2/19/2021,784-1977-1234567-71,Furniture City,Sales,,EcoLab LLC,UAE,Male,3/2/1977,,,Standard Chartered.,,,,,,JaimeAntonio@yahoo.com,,
418,418,Lucero,Jackson,Riconose,Active,images/empImg/File_m88G9od.jpg,Sales Man,3/6/2021,784-1977-1234567-72,Global Village,Sales,,EcoLab LLC,KSA,Male,3/17/1978,,,Abu Dhabi Islamic Bank (ADIB),,,,,,LuceroEndaya@yahoo.com,,
498,498,Mohammed,Hasnain,Khan,Active,images/empImg/File_f6DLhlc.jpg,Sales Man,7/4/2021,784-1977-1234567-80,Mars City Al Safa,Production,,EcoLab LLC,KSA,Male,7/13/1984,,,Mashreq Neo.,,,,,,Mohammed@yahoo.com,,
535,535,Rijeesh,Vellakada,Govindan,Active,images/empImg/File_ZOZIuOH.jpg,Sales Man,9/2/2021,784-1977-1234567-84,Mohammed Bin Rashid City,Production,,EcoLab LLC,KSA,Male,9/12/1982,,,Dubai Islamic Bank.,,,,,,Rijeesh@yahoo.com,,
