id,empCode,empFName,empMName,empLName,empStat,empImg,empPosi,empDoj,empEid,empLoca,empDept,empRepTo,empSpon,empNatl,empGend,empDob,EmpMarr,empIban,empBank,empAcc,empUid,empVisa,empAdd,empPh,empEmail,ref,comment
329,329,Sanjay,Kumar,Mandal,Active,images/empImg/File_kmMF4fs.jpg,Sales Manager,2020-01-11,784-1977-1234567-44,Dubai Healthcare City (DHCC),Production,,EcoLab LLC,KSA,Male,1981-01-20,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Sanjay@yahoo.com,,
345,345,Pune,Pratap,Panjiyar,Active,images/empImg/File_E9fuhq6.jpg,Sales Executive,2020-04-25,784-1977-1234567-51,Dubai Logistics City,Production,,EcoLab LLC,UAE,Male,1976-05-06,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Pune@yahoo.com,,
365,365,Allen,Joseph,Anora,Active,images/empImg/File_fMvBOgS.jpg,Sales Executive,2020-09-22,784-1977-1234567-61,Dubai Residential City,Sales,,EcoLab LLC,Bahrain,Male,1981-10-02,,,Emirates National Bank of Dubai (ENBD),,,,,,Allen@yahoo.com,,
366,366,Franco,Viola,Parota,Active,images/empImg/File_jysMEvM.jpg,Sales Executive,2020-10-07,784-1977-1234567-62,Dubai Science Park,Sales,,EcoLab LLC,Oman,Male,1982-10-17,,,Abu Dhabi Commercial Bank (ADCB),,,,,,FrancoJoseph@yahoo.com,,
370,370,Ariel,Abapo,Naciogoyo,Active,images/empImg/File_HQZALPl.jpg,Sales Executive,2020-11-06,784-1977-1234567-64,Dubai Sports City,Sales,,EcoLab LLC,KSA,Male,1981-11-16,,,Standard Chartered.,,,,,,ArielQuivante@yahoo.com,,
415,415,Tampos,Antonio,Magalona,Active,images/empImg/File_LB6b9wl.jpg,Sales Executive,2021-02-04,784-1977-1234567-70,Fun City,Sales,,EcoLab LLC,Oman,Male,1979-02-15,,,Dubai Islamic Bank.,,,,,,Tampos@yahoo.com,,
417,417,Jaime,,Endaya,Inactive,images/empImg/File_SHCsEs3.jpg,Sales Man,2021-02-19,784-1977-1234567-71,Furniture City,Sales,,EcoLab LLC,UAE,Male,1977-03-02,,,Standard Chartered.,,,,,,JaimeAntonio@yahoo.com,,
418,418,Lucero,Jackson,Riconose,Active,images/empImg/File_m88G9od.jpg,Sales Man,2021-03-06,784-1977-1234567-72,Global Village,Sales,,EcoLab LLC,KSA,Male,1978-03-17,,,Abu Dhabi Islamic Bank (ADIB),,,,,,LuceroEndaya@yahoo.com,,
498,498,Mohammed,Hasnain,Khan,Active,images/empImg/File_f6DLhlc.jpg,Sales Man,2021-07-04,784-1977-1234567-80,Mars City Al Safa,Production,,EcoLab LLC,KSA,Male,1984-07-13,,,Mashreq Neo.,,,,,,Mohammed@yahoo.com,,
535,535,Rijeesh,Vellakada,Govindan,Active,images/empImg/File_ZOZIuOH.jpg,Sales Man,2021-09-02,784-1977-1234567-84,Mohammed Bin Rashid City,Production,,EcoLab LLC,KSA,Male,1982-09-12,,,Dubai Islamic Bank.,,,,,,Rijeesh@yahoo.com,,
